total_wins,count_made_finals,total_count,percentage
24,256,256,1
23,1300,1300,1
22,2988,2988,1
21,4766,4766,1
20,5851,5851,1
19,6137,6137,1
18,6513,6513,1
17,7574,7574,1
16,8906,8906,1
15,10161,10167,0.9994098554145766
14,10280,10434,0.9852405597086448
13,8865,10289,0.8615997667411799
12,4939,9929,0.4974317655353006
11,1372,10438,0.13144280513508336
10,90,11423,0.007878840934955791
9,2,12845,1.557026080186843e-4
8,0,13812,0
7,0,12892,0
6,0,10550,0
5,0,6999,0
4,0,3761,0
3,0,1574,0
2,0,498,0
1,0,87,0
0,0,11,0
